,Nom scientifique,Nom français,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Famille botanique,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,score
espèce53,Dracaena draco,Dragonnier des Canaries,دم التنين,,"['Îles Canaries', 'Cap-Vert', 'Madère', 'Maroc']",,,Juin à août,,,,Asparagaceae,Arbre,Jusqu'à 12 mètres,Persistantes,Linéaires,Entier,Rosette,Blanc verdâtre,Inflorescence en panicule,Baie,Fasciculée,"['- Ornemental: Utilisé comme plante ornementale dans les jardins et parcs pour son aspect exotique et sa silhouette distinctive.', ""- Médicinal: La sève, appelée 'sang de dragon', est utilisée traditionnellement pour ses propriétés médicinales.""]",0.18721
espèce54,Phoenix dactylifera,Palmier dattier,نخلة التمر,['Tmar'],"['Moyen-Orient', 'Afrique du Nord']",Mars à avril,Avril à septembre,Avril à mai,Mai à octobre,Août à octobre,Novembre à décembre,Arecaceae,Arbre,15 à 25 mètres,Persistantes,Pinnées,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Culinaire: Les dattes sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés énergétiques et digestives.', ""- Ornemental: Utilisé dans l'aménagement paysager pour son apparence exotique."", '- Industriel: Les fibres de palmier sont utilisées pour fabriquer des cordes et des paniers.']",0.7859
espèce55,Olea europaea,Olivier,زيتون,['Zitoune'],"['Méditerranée', 'Asie occidentale', 'Afrique du Nord']",Mars à avril,Avril à septembre,Mai à juin,Juin à novembre,Octobre à novembre,Décembre à février,Oleaceae,Arbre,5 à 10 mètres,Persistantes,Lancéolées,Entier,Opposé,Blanc crème,Petites fleurs en grappes,Drupe,Pivotante,"[""- Culinaire: Les olives et l'huile d'olive sont largement utilisées dans la cuisine méditerranéenne."", ""- Médicinal: L'huile d'olive est utilisée pour ses propriétés anti-inflammatoires et antioxydantes."", ""- Ornemental: L'olivier est souvent planté pour son aspect esthétique et sa symbolique."", ""- Industriel: L'huile d'olive est utilisée dans la fabrication de cosmétiques et de savons.""]",0.77719
espèce56,Brachychiton acerifolius,Brachychiton à feuilles d'érable,,,['Australie'],Septembre à octobre,Printemps à été,Octobre à décembre,Décembre à février,Février à mars,Hiver,Malvaceae,Arbre,Jusqu'à 40 mètres,Persistantes,Palmées,Lobé,Alternes,Rouge vif,En cloche,Capsule,Pivotante,"[""- Ornemental: Utilisé pour ses fleurs spectaculaires et sa capacité à apporter de l'ombre."", '- Écologique: Fournit un habitat pour les oiseaux et les insectes.']",0.30539
espèce57,Persea americana,Avocatier,الأفوكادو,['الأفوكادو'],"['Mexique', 'Amérique centrale']",Mars à avril,Printemps à été,Mars à mai,Mai à septembre,Septembre à novembre,Variable selon le climat,Lauraceae,Arbre fruitier,10 à 20 mètres,Persistantes,Elliptique,Entier,Alternée,Jaune-vert,Petites fleurs en panicules,Drupe,Pivotante,"['- Culinaire: Utilisé pour ses fruits riches en nutriments, consommés crus ou en guacamole.', ""- Médicinal: L'huile d'avocat est utilisée pour ses propriétés hydratantes et anti-inflammatoires."", '- Ornemental: Cultivé dans les jardins pour son feuillage dense et ses fruits.']",0.5643
espèce58,Melia azedarach,Lilas de Perse,الزنزلخت,['زنبوع'],"['Asie du Sud', 'Australie', 'Pacifique Sud']",Mars à Avril,Avril à Septembre,Avril à Juin,Juillet à Octobre,Octobre à Novembre,Novembre à Décembre,Meliaceae,Arbre,10 à 15 mètres,Composées,Pinnées,Dentelées,Opposées,Violet pâle,Panicules,Drupe,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour son feuillage dense et ses fleurs parfumées.', '- Médicinal: Utilisé dans la médecine traditionnelle pour traiter divers maux, bien que certaines parties soient toxiques.', '- Écologique: Utilisé pour la reforestation et comme brise-vent dans certaines régions.']",0.86282
espèce59,Ipomoea arborescens,Ipomée en arbre,,,"['Mexique', 'Amérique centrale']",Mars à avril,Avril à septembre,Octobre à décembre,Décembre à février,Février à mars,Décembre à janvier,Convolvulaceae,Arbre,Jusqu'à 10 mètres,Caduques,Cordées,Entier,Alternes,Blanc,Inflorescence en cymes,Capsule,Pivotante,"[""- Ornemental: Utilisé dans les jardins pour ses belles fleurs blanches et sa forme d'arbre."", ""- Écologique: Fournit de l'ombre et un habitat pour la faune locale dans ses régions d'origine.""]",0.37642
espèce60,Iris florentina,Iris de Florence,,,"['Italie', 'Europe du Sud']",Mars,Avril à Juin,Mai à Juin,Juillet à Août,Août,Octobre,Iridaceae,Vivace rhizomateuse,60 à 90 cm,Persistantes,Linéaire,Entier,En rosette basale,Blanc à bleu pâle,Fleurs solitaires ou en grappes,Capsule,Rhizome,"['- Ornemental: Utilisé dans les jardins pour ses fleurs attrayantes et son feuillage persistant.', '- Médicinal: Historiquement utilisé pour ses propriétés médicinales, notamment dans le traitement des affections cutanées.']",0.39188
espèce61,Bougainvillea × buttiana,Bougainvillée,,,['Amérique du Sud'],Mars à Avril,Avril à Octobre,Mai à Novembre,Non applicable (rarement fructifie),Non applicable,Novembre à Février,Nyctaginaceae,Arbuste grimpant,3 à 4 mètres,Persistantes,Ovale,Entier,Opposée,"Rose, pourpre, rouge, orange",Bractées colorées entourant de petites fleurs blanches,Non applicable,Racines fibreuses,"[""- Ornemental: Utilisé pour l'embellissement des jardins et des façades grâce à ses couleurs vives et sa capacité à grimper.""]",0.79995
espèce62,Cupressus sempervirens,Cyprès toujours vert,السرو دائم الخضرة,,"['Méditerranée orientale', 'Asie mineure']",Mars à avril,Avril à septembre,Mars à mai,Septembre à novembre,Octobre à décembre,,Cupressaceae,Conifère,20 à 30 mètres,Persistantes,Écailleuses,Lisse,Opposée,Jaune,Cônes mâles et femelles séparés sur le même arbre,Cône,Pivotante,"['- Ornemental: Utilisé pour la décoration des jardins et des parcs, souvent planté en haies ou en alignement.', '- Écologique: Fournit un habitat pour la faune et contribue à la stabilisation des sols.']",0.57309
espèce63,Hesperocyparis lusitanica,Cyprès du Portugal,,,"['Mexique', 'Amérique centrale']",,Printemps à été,Printemps,Automne,Hiver,,Cupressaceae,Conifère,Jusqu'à 30 mètres,Persistantes,Écailleuses,Lisse,Opposée,Jaune,Cônes mâles et femelles séparés sur le même arbre,Cône,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour sa forme conique et sa résistance.', '- Écologique: Utilisé pour la reforestation et comme brise-vent.']",0.50679
espèce64,Prunus tenella,Amandier nain,,,"[""Europe de l'Est"", 'Asie centrale', 'Sibérie']",Mars à avril,Avril à septembre,Avril à mai,Juin à juillet,Juillet à août,Octobre,Rosaceae,Arbuste,"1 à 1,5 mètre",Caduques,Lancéolées,Dentelées,Alternes,Rose,Fleurs solitaires ou en petits groupes,Drupe,Racine pivotante,"['- Ornemental: Utilisé dans les jardins pour ses belles fleurs roses au printemps.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les zones arides.']",0.52937
espèce65,Phoenix dactylifera,Palmier dattier,نخلة التمر,['نخلة'],"['Moyen-Orient', 'Afrique du Nord']",Mars à avril,Avril à septembre,Avril à mai,Mai à octobre,Août à octobre,Novembre à décembre,Arecaceae,Arbre,15 à 25 mètres,Persistantes,Pinnées,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Culinaire: Les dattes sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés énergétiques et digestives.', ""- Ornemental: Utilisé dans l'aménagement paysager pour son aspect esthétique."", '- Industriel: Les fibres de palmier sont utilisées pour fabriquer des cordes et des paniers.']",0.44245
espèce66,Ficus elastica,Figuier caoutchouc,فيكس إيلاستيكا,,"['Inde', 'Népal', 'Bhoutan', 'Birmanie', 'Malaisie', 'Indonésie']",,Toute l'année dans les climats tropicaux,,,,,Moraceae,Arbre,"Jusqu'à 30-40 mètres dans son habitat naturel, mais généralement 2-3 mètres en intérieur",Persistantes,Ovale à elliptique,Entier,Alternée,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et adventives,"[""- Ornemental: Utilisé comme plante d'intérieur populaire pour son feuillage brillant et sa capacité à purifier l'air."", '- Industriel: Source de latex utilisé pour produire du caoutchouc naturel.']",0.75336
espèce67,Washingtonia filifera,Palmier de Californie,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin été à début automne,,Arecaceae,Arbre,15-20 mètres,Persistantes,Palmées,Entier,En couronne,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect esthétique et sa résistance à la sécheresse.', '- Écologique: Fournit un habitat pour la faune locale et contribue à la biodiversité.']",0.31704
espèce68,Salvia fruticosa,Sauge de Crète,المريمية,['مرامية'],"['Méditerranée orientale', 'Crète', 'Chypre', 'Turquie']",Mars,Avril à septembre,Avril à juin,Juin à juillet,Juillet,Octobre à novembre,Lamiaceae,Arbuste vivace,0.5 à 1.5 mètres,Persistantes,Ovale à lancéolée,Denté,Opposée,Violet pâle à rose,Inflorescence en épis,Akène,Racine pivotante,"['- Médicinal: Utilisée pour ses propriétés antiseptiques, antispasmodiques et digestives.', '- Culinaire: Les feuilles sont utilisées comme herbe aromatique dans la cuisine méditerranéenne.', '- Ornemental: Cultivée pour ses fleurs attrayantes et son feuillage persistant.']",0.81254
espèce69,Schinus molle,Faux-poivrier,فلفل بورق,,"['Amérique du Sud', 'Pérou', 'Argentine', 'Brésil']",Mars à avril,Printemps à été,Mai à juillet,Juillet à septembre,Septembre à octobre,Novembre à décembre,Anacardiaceae,Arbre,Jusqu'à 15 mètres,Persistantes,Pinnées,Dentelées,Alternes,Blanc crème,Petites fleurs en panicules,Drupe,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour son feuillage persistant et son port pleureur.', '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.', '- Culinaire: Les baies sont utilisées comme substitut du poivre.']",0.82348
espèce70,Ficus retusa,Figuier à feuilles de laurier,فيكس ريتوزا,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie', 'Philippines']",,,,,,,Moraceae,Arbre,Jusqu'à 15 mètres,Persistantes,Elliptiques,Entier,Alterne,Inconspicues,Inflorescence en sycone,Sycone,Racines aériennes,"[""- Ornemental: Utilisé comme plante d'intérieur et pour le bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Contribue à la biodiversité en fournissant de la nourriture pour certaines espèces d'oiseaux et d'insectes.""]",0.78298
espèce71,Nerium oleander,Laurier-rose,دفلى,,"['Méditerranée', 'Asie du Sud-Ouest']",Mars à avril,Avril à septembre,Mai à octobre,Juillet à novembre,Octobre à novembre,Persistant,Apocynaceae,Arbuste,2 à 6 mètres,Persistantes,Lancéolées,Entier,Opposées,"Rose, blanc, rouge, jaune",Inflorescence en corymbe,Follicule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour ses fleurs attrayantes et sa capacité à résister à la sécheresse.', '- Médicinal: Historiquement utilisé en médecine traditionnelle, mais la plante est toxique et doit être manipulée avec précaution.']",0.96224
espèce72,Carpobrotus acinaciformis,Griffe de sorcière,,,['Afrique du Sud'],Mars,Mars à Octobre,Avril à Juin,Juillet à Septembre,Août à Septembre,,Aizoaceae,Plante succulente,Jusqu'à 30 cm,Succulentes,En forme de sabre,Lisse,Opposée,Rose à pourpre,"Solitaire, grande et voyante",Capsule charnue,Racinaire,"['- Ornemental: Utilisée pour la couverture du sol dans les jardins en raison de sa croissance rapide et de ses fleurs voyantes.', ""- Écologique: Utilisée pour la stabilisation des sols et la prévention de l'érosion dans les zones côtières.""]",0.36101
espèce73,Ficus carica,Figuier commun,تين,"['Karmous', 'Hendi']","['Asie du Sud-Ouest', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Août à septembre,Octobre à novembre,Moraceae,Arbre fruitier,3 à 10 mètres,Caduques,Palmatilobées,Dentelée,Alterne,Inconspicue (fleurs à l'intérieur du sycone),Inflorescence en sycone,Sycone (figue),Pivotante avec racines latérales,"['- Culinaire: Les figues sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes sucrées et salées.', '- Médicinal: Utilisé traditionnellement pour ses propriétés laxatives et digestives.', '- Ornemental: Cultivé pour son feuillage décoratif et son port étalé.']",0.63997
