,Nom scientifique,Nom français,Code,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Type de feuillage,Division,Classe,Ordre,Famille,Genre,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,Url carte de répartition,place
espèce40,Citrus × aurantium,Oranger amer,Ang_Mag_Rut_Cit,النارنج,['الزنبوع'],"['Asie du Sud-Est', 'Inde', 'Chine']",Mars,Avril à Septembre,Avril à Mai,Octobre à Décembre,Décembre à Février,Persistant,Persistant,Angiosperme,Magnoliopsida,Sapindales,Rutaceae,Citrus,Arbre,5 à 10 mètres,Simple,Ovale,Dentelé,Alternée,Blanc,Fleurs hermaphrodites,Hespéride,Pivotante,"['- Médicinal: Utilisé pour ses propriétés sédatives et digestives.', ""- Culinaire: Utilisé pour la fabrication de marmelades et l'aromatisation de liqueurs."", '- Ornemental: Cultivé pour ses fleurs parfumées et ses fruits décoratifs.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59600-2,Photo prise à l'ENS le 19/03/2025
espèce41,Pelargonium zonale,Géranium zonal,Ang_Mag_Ger_Pel,,,['Afrique du Sud'],Mars à avril,Avril à septembre,Mai à octobre,Juin à novembre,Juillet à novembre,Novembre à décembre,Persistant,Angiosperme,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,Arbuste,30 à 90 cm,Simple,Ronde à réniforme,Lobé,Alternée,"Rose, rouge, blanc, violet",Inflorescence en ombelle,Capsule,Fasciculée,"['- Ornemental: Utilisé pour la décoration des jardins et des balcons en raison de ses fleurs colorées et de son feuillage attrayant.', '- Médicinal: Utilisé dans certaines médecines traditionnelles pour ses propriétés antiseptiques et anti-inflammatoires.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:377229-1,Photo prise à l'ENS le 19/03/2025
espèce42,Cotyledon orbiculata,Cotylédon orbiculé,Ang_Eud_Cra_Cot,,,['Afrique du Sud'],,Printemps à été,Été,,,,Persistant,Angiosperme,Eudicots,Saxifragales,Crassulaceae,Cotyledon,Succulente,0.3 à 1.5 mètres,Succulentes,Orbiculaires à elliptiques,Entier,Opposé,"Orange, rouge",Tubulaire,Capsule,Fibreux,"[""- Ornemental: Utilisée dans les jardins de rocaille et comme plante d'intérieur pour son feuillage attrayant et ses fleurs colorées."", '- Médicinal: Utilisée en médecine traditionnelle pour traiter les infections et les inflammations.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:272761-1,Photo prise à l'ENS le 19/03/2025
espèce43,Euphorbia cooperi,Euphorbe de Cooper,Ang_Mag_Eup_Eup,,,"['Afrique du Sud', 'Zimbabwe', 'Mozambique']",,Printemps à été,Printemps,Été,,,Persistant,Angiosperme,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Arbuste,Jusqu'à 4 mètres,Simple,Ovale,Entier,Alternée,Jaune,Inflorescence en cyathes,Capsule,Pivotante,"['- Ornemental: Utilisée dans les jardins pour son apparence unique et sa résistance à la sécheresse.', '- Médicinal: Utilisée traditionnellement pour ses propriétés médicinales, notamment dans le traitement de certaines affections cutanées.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346111-1,Photo prise à l'ENS le 19/03/2025
espèce44,Punica granatum,Grenadier,Ang_Eud_Lyt_Pun,رمان,['Rumman'],"['Iran', 'Afghanistan', 'Inde', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à octobre,Septembre à octobre,Novembre à décembre,Caduc,Angiosperme,Eudicots,Myrtales,Lythraceae,Punica,Arbuste,3 à 5 mètres,Simple,Lancéolée,Entier,Opposée,Rouge vif,Tubulaire avec de nombreuses étamines,Baie,Pivotante,"['- Culinaire: Les graines sont consommées fraîches ou utilisées pour produire du jus de grenade.', '- Médicinal: Utilisé pour ses propriétés antioxydantes et anti-inflammatoires.', '- Ornemental: Cultivé pour ses fleurs décoratives et son feuillage.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000194-2,Photo prise à l'ENS le 19/03/2025
espèce45,Trichocereus macrogonus,Cactus San Pedro,Ang_Mag_Cac_Tri,,,"['Pérou', 'Bolivie']",,Printemps à été,Été,,,,Persistant,Angiosperme,Magnoliopsida,Caryophyllales,Cactaceae,Trichocereus,Cactus,Jusqu'à 6 mètres,Aiguillons,,,,Blanc,"Fleurs nocturnes, grandes et parfumées",Baie,Pivotante,"['- Médicinal: Utilisé traditionnellement pour ses propriétés psychoactives et spirituelles.', '- Ornemental: Cultivé pour sa beauté et sa résistance dans les jardins de cactus.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:257107-2,Photo prise à l'ENS le 19/03/2025
espèce46,Kroenleinia grusonii,Coussin de belle-mère,Ang_Mag_Cac_Kro,,,['Mexique'],,Printemps à été,Printemps,,,,Persistant,Angiosperme,Magnoliopsida,Caryophyllales,Cactaceae,Kroenleinia,Cactus,Jusqu'à 1 mètre,Aiguillons,,,,Jaune,Fleurs solitaires,Baie,Racines fibreuses,['- Ornemental: Utilisé dans les jardins de cactus et les aménagements paysagers pour sa forme sphérique et ses épines dorées.'],https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77164085-1,Photo prise à l'ENS le 19/03/2025
espèce47,Musa × paradisiaca,Banane plantain,Ang_Lil_Mus_Mus,موز,,"['Asie du Sud-Est', 'Inde', ""Afrique de l'Ouest""]",Mars à avril,Toute l'année dans les climats tropicaux,Toute l'année dans les climats tropicaux,Toute l'année dans les climats tropicaux,9 à 12 mois après la floraison,Non applicable (plante à feuillage persistant),Persistant,Angiosperme,Liliopsida,Zingiberales,Musaceae,Musa,Herbacée,3 à 7 mètres,Simple,Oblongue,Entier,Spirale,Jaune à violet,Inflorescence en épi,Baie,Rhizome,"['- Culinaire: Utilisé comme aliment de base dans de nombreuses cuisines tropicales, souvent frit, bouilli ou cuit à la vapeur.', '- Industriel: Les fibres de bananier sont utilisées pour fabriquer des textiles et des cordages.', '- Médicinal: Utilisé dans certaines médecines traditionnelles pour traiter divers maux.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:797595-1,Photo prise à l'ENS le 19/03/2025
espèce48,Rhaphiolepis bibas,Néflier du Japon,Ang_Mag_Ros_Rha,,,"['Chine', 'Japon']",Mars,Avril à Septembre,Octobre à Novembre,Janvier à Mars,Mars à Avril,,Persistant,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Rhaphiolepis,Arbuste,3 à 5 mètres,Simple,Elliptique,Denté,Alternée,Blanc à rose pâle,Inflorescence en panicule,Drupe,Pivotante,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et ses fleurs décoratives.', '- Culinaire: Les fruits sont comestibles et peuvent être consommés frais ou utilisés en confitures.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77209608-1,Photo prise à l'ENS le 19/03/2025
espèce49,Cydonia oblonga,Cognassier,Ang_Mag_Ros_Cyd,سفرجل,['Safarjal'],"['Asie du Sud-Ouest', 'Caucase', 'Iran']",Mars à avril,Avril à septembre,Mai,Septembre à octobre,Octobre à novembre,Novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Cydonia,Arbre,3 à 5 mètres,Simples,Ovale,Dentelé,Alterne,Blanc à rose pâle,Fleurs solitaires,Pomme,Pivotante,"['- Culinaire: Les fruits du cognassier sont utilisés pour faire des gelées, des confitures et des pâtes de fruits.', '- Médicinal: Traditionnellement utilisé pour ses propriétés astringentes et digestives.', '- Ornemental: Cultivé pour ses belles fleurs et son feuillage attrayant.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724549-1,Photo prise à l'ENS le 19/03/2025
espèce50,Morus nigra,Mûrier noir,Ang_Mag_Mor_Mor,توت أسود,,"['Asie occidentale', 'Iran']",Mars à avril,Avril à septembre,Mai à juin,Juin à août,Juillet à août,Octobre à novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Moraceae,Morus,Arbre,10 à 15 mètres,Simple,Cordée,Denté,Alterne,Vert jaunâtre,Inflorescence en chaton,Multiple (sorose),Pivotante,"['- Médicinal: Utilisé pour ses propriétés antioxydantes et anti-inflammatoires.', '- Culinaire: Les fruits sont consommés frais, en confitures, ou en jus.', '- Ornemental: Planté pour son feuillage dense et ses fruits décoratifs.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:854688-1,Photo prise à l'ENS le 19/03/2025
espèce51,Ficus microcarpa,Figuier à petits fruits,Ang_Mag_Mor_Fic,فيكس ميكروكاربا,,"['Asie du Sud-Est', 'Australie', 'Inde', 'Chine', 'Malaisie']",Mars à Avril,Avril à Septembre,Mai à Juin,Juillet à Août,Août à Septembre,,Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,15 à 25 mètres,Simple,Ovale,Entier,Alternée,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et racines pivotantes,"[""- Ornemental: Utilisé comme plante d'intérieur et pour l'aménagement paysager en raison de son feuillage dense et de sa capacité à être taillé en bonsaï."", ""- Écologique: Fournit un habitat pour diverses espèces d'oiseaux et d'insectes.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:853215-1,Photo prise à l'ENS le 19/03/2025
espèce52,Agave salmiana,Agave de Salm,Ang_Lil_Asp_Aga,,,['Mexique'],,Printemps à été,Été,Fin été à automne,,,Persistant,Angiosperme,Liliopsida,Asparagales,Asparagaceae,Agave,Succulente,"Jusqu'à 1,5 mètre",Succulentes,Lancéolée,Denticule,Rosette,Jaune à vert,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour sa forme architecturale et sa résistance à la sécheresse.', ""- Industriel: Utilisé pour la production de fibres et de sirop d'agave.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:62247-1,Photo prise à l'ENS le 19/03/2025
espèce53,Dracaena draco,Dragonnier des Canaries,Ang_Lil_Asp_Dra,,,"['Îles Canaries', 'Cap-Vert', 'Madère', 'Ouest du Maroc']",,Printemps à été,Printemps,Été,Fin de l'été,,Persistant,Angiosperme,Liliopsida,Asparagales,Asparagaceae,Dracaena,Arbre,Jusqu'à 12 mètres,Simple,Lancéolée,Entier,Rosette,Blanc verdâtre,Inflorescence en panicule,Baie,Fasciculée,"['- Ornemental: Utilisé comme plante ornementale dans les jardins et parcs pour son aspect exotique et sa silhouette distinctive.', ""- Médicinal: La sève, appelée 'sang de dragon', est utilisée en médecine traditionnelle pour ses propriétés cicatrisantes et anti-inflammatoires.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:534171-1,Photo prise à l'ENS le 19/03/2025
espèce54,Phoenix dactylifera,Palmier dattier,Ang_Lil_Are_Pho,نخلة التمر,['Tmar'],"['Moyen-Orient', 'Afrique du Nord']",Mars à avril,Avril à septembre,Avril à mai,Mai à octobre,Août à octobre,Persistant,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Phoenix,Arbre,15 à 25 mètres,Pinnées,Lancéolée,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Culinaire: Les dattes sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes.', '- Médicinal: Utilisées dans la médecine traditionnelle pour leurs propriétés énergétiques et digestives.', ""- Ornemental: Utilisé dans l'aménagement paysager pour son aspect esthétique."", '- Industriel: Les fibres de palmier sont utilisées pour fabriquer des cordes et des paniers.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222263-1,Photo prise à l'ENS le 19/03/2025
espèce55,Olea europaea,Olivier,Ang_Dic_Ole_Ole,زيتون,['Zitoune'],"['Méditerranée', 'Asie occidentale', 'Afrique du Nord']",Mars à avril,Avril à septembre,Mai à juin,Juin à novembre,Octobre à novembre,Persistant,Persistant,Angiosperme,Dicotylédones,Lamiales,Oleaceae,Olea,Arbre,5 à 10 mètres,Simple,Lancéolée,Entier,Opposée,Blanc crème,Petites fleurs en grappes,Drupe,Pivotante,"[""- Culinaire: Les olives et l'huile d'olive sont largement utilisées dans la cuisine méditerranéenne."", ""- Médicinal: L'huile d'olive est utilisée pour ses propriétés antioxydantes et anti-inflammatoires."", ""- Ornemental: L'olivier est souvent planté pour son aspect esthétique dans les jardins."", ""- Industriel: L'huile d'olive est utilisée dans la fabrication de cosmétiques et de savons.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610675-1,Photo prise à l'ENS le 19/03/2025
espèce56,Brachychiton acerifolius,Brachychiton à feuilles d'érable,Ang_Eud_Mal_Bra,,,['Australie'],Septembre à octobre,Printemps à été,Octobre à décembre,Décembre à février,Février à mars,"Variable, souvent en hiver",Caduc,Angiosperme,Eudicots,Malvales,Malvaceae,Brachychiton,Arbre,Jusqu'à 30 mètres,Simple,Palmé,Lobé,Alternée,Rouge vif,Fleurs en cloche,Capsule,Pivotante,"[""- Ornemental: Utilisé pour ses fleurs spectaculaires et sa capacité à apporter de l'ombre."", '- Écologique: Fournit un habitat pour les oiseaux et les insectes.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822254-1,Photo prise à l'ENS le 19/03/2025
espèce57,Persea americana,Avocatier,Ang_Mag_Lau_Per,الأفوكادو,['زيتون مْكَيّس'],"['Mexique', 'Amérique centrale']",Mars à avril,Printemps à été,Mars à mai,Mai à septembre,Septembre à novembre,Persistant,Persistant,Angiosperme,Magnoliopsida,Laurales,Lauraceae,Persea,Arbre,10 à 20 mètres,Simple,Elliptique,Entier,Alternée,Vert jaunâtre,Petites fleurs en panicules,Drupe,Pivotante,"['- Culinaire: Utilisé pour ses fruits riches en nutriments, consommés frais ou en guacamole.', ""- Médicinal: L'huile d'avocat est utilisée pour ses propriétés hydratantes et anti-inflammatoires."", '- Ornemental: Cultivé dans les jardins pour son feuillage persistant et son port élégant.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325623-2,Photo prise à l'ENS le 19/03/2025
espèce58,Melia azedarach,Lilas de Perse,Ang_Mag_Mel_Mel,الزنزلخت,['زنبوع'],"['Asie du Sud', 'Australie', 'Pacifique Sud']",Mars,Avril à Septembre,Avril à Mai,Juin à Août,Septembre à Octobre,Novembre à Décembre,Caduc,Angiosperme,Magnoliopsida,Sapindales,Meliaceae,Melia,Arbre,10 à 15 mètres,Composées,Pinnées,Dentelée,Opposée,Violet pâle,Panicules,Drupe,Pivotante,"[""- Ornemental: Utilisé pour l'ornementation des parcs et jardins en raison de son feuillage et de ses fleurs attrayantes."", '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés antiparasitaires et anti-inflammatoires.', '- Écologique: Peut être utilisé pour la reforestation et la stabilisation des sols.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:578949-1,Photo prise à l'ENS le 19/03/2025
espèce59,Ipomoea arborescens,Ipomée en arbre,Ang_Mag_Con_Ipo,,,"['Mexique', 'Amérique centrale']",Mars,Avril à Septembre,Octobre à Février,Février à Mars,Mars,Février à Mars,Caduc,Angiosperme,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Arbre,Jusqu'à 10 mètres,Simple,Ovale à lancéolée,Entier,Alternée,Blanc à crème,Fleurs en entonnoir,Capsule,Pivotante,"[""- Ornemental: Utilisé pour l'ornementation en raison de ses grandes fleurs attrayantes."", ""- Écologique: Fournit de l'habitat et de la nourriture pour les pollinisateurs.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30056239-2,Photo prise à l'ENS le 19/03/2025
espèce60,Iris florentina,Iris de Florence,Ang_Lil_Iri_Iri,,,"['Italie', 'Europe du Sud']",Mars,Avril à Juin,Mai à Juin,Juillet à Août,Août,Octobre,Caduc,Angiosperme,Liliopsida,Asparagales,Iridaceae,Iris,Herbacée,60-90 cm,Simple,Linéaire,Entier,Rosette basale,Blanc à bleu pâle,Fleur à trois pétales et trois sépales,Capsule,Rhizome,"['- Ornemental: Utilisé dans les jardins pour ses fleurs attrayantes.', ""- Médicinal: Historiquement utilisé pour ses propriétés médicinales, notamment dans la fabrication de l'orris, une poudre parfumée.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:438598-1,Photo prise à l'ENS le 19/03/2025
espèce61,Bougainvillea × buttiana,Bougainvillée,Ang_Eud_Nyc_Bou,,,['Amérique du Sud'],Mars à avril,Printemps à été,Printemps à automne,,,,Persistant,Angiosperme,Eudicots,Caryophyllales,Nyctaginaceae,Bougainvillea,Arbuste grimpant,Jusqu'à 10 mètres,Simple,Ovale,Entier,Opposée,"Rose, pourpre, rouge, orange",Inflorescence en cyme,,Fasciculée,['- Ornemental: Utilisé pour la décoration des jardins et des murs en raison de ses couleurs vives et de sa capacité à grimper.'],https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:35442-2,Photo prise à l'ENS le 19/03/2025
espèce62,Cupressus sempervirens,Cyprès toujours vert,Gym_Pin_Cup_Cup,السرو دائم الخضرة,,"['Méditerranée orientale', 'Asie occidentale']",Mars à avril,Printemps à été,Mars à mai,Automne,1 à 2 ans après la pollinisation,,Persistant,Gymnosperme,Pinopsida,Pinales,Cupressaceae,Cupressus,Arbre,20 à 30 mètres,Aiguilles,Écaille,Lisse,Opposée,Jaune,Cônes mâles et femelles séparés sur le même arbre,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et les parcs pour sa forme élancée et sa verdure persistante.', '- Écologique: Utilisé pour la stabilisation des sols et comme brise-vent.', '- Industriel: Le bois est utilisé pour la menuiserie et la construction.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:261974-1,Photo prise à l'ENS le 19/03/2025
espèce63,Hesperocyparis lusitanica,Cyprès du Portugal,Gym_Pin_Cup_Hes,,,"['Mexique', 'Amérique centrale']",,,Printemps,,,,Persistant,Gymnosperme,Pinopsida,Pinales,Cupressaceae,Hesperocyparis,Arbre,Jusqu'à 30 mètres,Aiguilles,Écaille,Lisse,Opposée,Non applicable (conifère),Cônes mâles et femelles séparés,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour sa forme conique et son feuillage persistant.', '- Écologique: Planté pour la reforestation et comme brise-vent.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60451554-2,Photo prise à l'ENS le 19/03/2025
espèce64,Prunus tenella,Amandier nain,Ang_Mag_Ros_Pru,,,"[""Europe de l'Est"", 'Asie centrale']",Mars à avril,Avril à septembre,Avril à mai,Juin à juillet,Juillet à août,Octobre à novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Prunus,Arbuste,0.5 à 1.5 mètres,Simples,Lancéolées,Dentelées,Alterne,Rose,Fleurs solitaires ou en petits groupes,Drupe,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses belles fleurs roses et sa petite taille adaptée aux petits espaces.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730347-1,Photo prise à l'ENS le 19/03/2025
espèce65,Phoenix canariensis,Palmier des Canaries,Ang_Lil_Are_Pho,نخيل جزر الكناري,,['Îles Canaries'],,Printemps à été,Printemps,Été à automne,Automne,,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Phoenix,Arbre,Jusqu'à 20 mètres,Pinné,Lancéolé,Entier,Rosette,Jaune crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et parcs pour son aspect majestueux et sa résistance aux conditions urbaines.', ""- Écologique: Fournit un habitat pour diverses espèces d'oiseaux et d'insectes.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:668909-1,Photo prise à l'ENS le 19/03/2025
espèce66,Ficus elastica,Figuier caoutchouc,Ang_Mag_Mor_Fic,فيكس إيلاستيكا,,"['Inde', 'Indonésie', 'Népal', 'Bhoutan', 'Birmanie', 'Malaisie']",,Toute l'année dans les climats tropicaux,,,,,Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,Jusqu'à 30-40 mètres dans son habitat naturel,Simple,Ovale à elliptique,Entier,Alterne,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et adventives,"[""- Ornemental: Utilisé comme plante d'intérieur populaire pour son feuillage brillant et sa capacité à purifier l'air."", '- Industriel: Source de latex utilisé pour produire du caoutchouc.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60458499-2,Photo prise à l'ENS le 19/03/2025
espèce67,Washingtonia filifera,Palmier de Californie,Ang_Lil_Are_Was,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin été à début automne,Persistant,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Washingtonia,Arbre,15-20 mètres,Palmées,Palmées,Dentelé,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect tropical et sa résistance à la sécheresse.', '- Écologique: Fournit un habitat pour la faune locale, notamment les oiseaux et les insectes.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:267788-2,Photo prise à l'ENS le 19/03/2025
espèce68,Salvia fruticosa,Sauge de Crète,Ang_Mag_Lam_Sal,المريمية,['مرامية'],"['Méditerranée orientale', 'Crète', 'Chypre', 'Turquie']",Mars,Mars à septembre,Avril à juin,Juin à juillet,Juillet,Persistant,Persistant,Angiosperme,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Arbuste,0.5 à 1.5 mètre,Simple,Ovale à lancéolée,Denté,Opposé,Violet pâle à rose,Fleurs bilabiées en verticilles,Akène,Racine pivotante,"['- Médicinal: Utilisée pour ses propriétés anti-inflammatoires, antioxydantes et antimicrobiennes.', '- Culinaire: Les feuilles sont utilisées comme herbe aromatique dans la cuisine méditerranéenne.', '- Ornemental: Cultivée pour ses fleurs attrayantes et son feuillage aromatique.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:456249-1,Photo prise à l'ENS le 19/03/2025
espèce69,Schinus molle,Faux-poivrier,Ang_Mag_Ana_Sch,فلفل بورق,['تازودا'],"['Amérique du Sud', 'Pérou', 'Argentine', 'Chili']",Mars à Avril,Avril à Septembre,Mai à Juillet,Août à Octobre,Octobre à Novembre,Persistant,Persistant,Angiosperme,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,Arbre,Jusqu'à 15 mètres,Composées pennées,Lancéolées,Dentelée,Alternée,Blanc crème,Petites fleurs en panicules,Drupe,Pivotante,"[""- Ornemental: Utilisé pour l'ornementation des jardins et des espaces publics en raison de son feuillage persistant et de son port pleureur."", '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.', '- Culinaire: Les baies sont utilisées comme substitut du poivre.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71044-1,Photo prise à l'ENS le 19/03/2025
espèce70,Ficus retusa,Figuier à petites feuilles,Ang_Mag_Mor_Fic,تين صغير الأوراق,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie', 'Philippines']",Mars à avril,Printemps à été,Printemps,Été,Fin été,N/A (plante à feuillage persistant),Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,Jusqu'à 10 mètres en milieu naturel,Simple,Elliptique,Entier,Alternée,Inconspicue (fleurs à l'intérieur du sycone),Inflorescence en sycone,Sycone,Racines aériennes et racines pivotantes,"[""- Ornemental: Utilisé comme plante d'intérieur ou bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Contribue à la biodiversité en fournissant de la nourriture pour certaines espèces d'insectes et d'oiseaux.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:853577-1,Photo prise à l'ENS le 19/03/2025
espèce71,Nerium oleander,Laurier-rose,Ang_Mag_Apo_Ner,دفلى,,"['Méditerranée', 'Asie du Sud-Ouest']",Mars à avril,Avril à septembre,Mai à octobre,Juillet à novembre,Septembre à novembre,,Persistant,Angiosperme,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Arbuste,2 à 6 mètres,Simple,Lancéolée,Entier,Opposée ou verticillée,"Rose, blanc, rouge, jaune",Inflorescence en corymbe,Follicule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour ses fleurs attrayantes et son feuillage persistant.', '- Médicinal: Contient des composés utilisés en médecine traditionnelle, mais la plante est toxique et doit être manipulée avec précaution.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:80460-1,Photo prise à l'ENS le 19/03/2025
espèce72,Carpobrotus acinaciformis,Griffe de sorcière,Ang_Mag_Aiz_Car,,,['Afrique du Sud'],Mars,Printemps à été,Printemps à été,Été,Fin été,,Persistant,Angiosperme,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Plante succulente,Jusqu'à 30 cm,Succulentes,En forme de sabre,Lisse,Opposée,Rose à pourpre,"Solitaire, grande et voyante",Baie,Racinaire,"['- Ornemental: Utilisée pour la couverture du sol dans les jardins méditerranéens.', ""- Écologique: Plante utilisée pour stabiliser les sols sablonneux et prévenir l'érosion.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360773-1,Photo prise à l'ENS le 19/03/2025
espèce73,Ficus carica,Figuier commun,Ang_Mag_Mor_Fic,تين,['Karmous'],"['Asie du Sud-Ouest', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Août à octobre,Novembre à décembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,3 à 10 mètres,Simples,Lobées,Dentelée,Alterne,Inconspicue (fleurs à l'intérieur du sycone),Inflorescence en sycone,Sycone (figue),Pivotante,"['- Culinaire: Les figues sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes sucrées et salées.', '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés laxatives et digestives.', '- Ornemental: Cultivé pour son feuillage décoratif et ses fruits attrayants.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327905-2,Photo prise à l'ENS le 19/03/2025
espèce74,Cedrus atlantica,Cèdre de l'Atlas,Gym_Pin_Pin_Ced,أرز الأطلس,['Tazart'],"['Maroc', 'Algérie']",Avril,Avril à Septembre,Septembre à Octobre,Octobre à Novembre,Deux ans après la pollinisation,,Persistant,Gymnosperme,Pinopsida,Pinales,Pinaceae,Cedrus,Arbre,30 à 40 mètres,Aiguilles,Aiguilles courtes et rigides,Lisse,Fasciculées en rosettes,Jaune (mâle) et vert (femelle),Cônes unisexués,Cône,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour sa majestueuse silhouette et sa résistance.', '- Écologique: Joue un rôle important dans la stabilisation des sols et la conservation de la biodiversité dans son habitat naturel.', '- Industriel: Le bois est utilisé pour la menuiserie et la construction en raison de sa durabilité.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50881822-1,Photo prise à l'ENS le 19/03/2025
